Setting,value
os,Ubuntu 18.04.5 LTS
system,"x86_64, linux-gnu"
ui,X11
language,(EN)
collate,en_US.UTF-8
ctype,en_US.UTF-8
tz,America/Santiago
date,2021-04-13
