package,ondiskversion,loadedversion,path,loadedpath,attached,is_base,date,source,md5ok,library
sessioninfo,1.1.1,1.1.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/sessioninfo,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/sessioninfo,FALSE,FALSE,2018-11-05,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
statmod,1.4.35,1.4.35,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/statmod,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/statmod,FALSE,FALSE,2020-10-19,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
stringi,1.5.3,1.5.3,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/stringi,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/stringi,FALSE,FALSE,2020-09-09,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
stringr,1.4.0,1.4.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/stringr,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/stringr,TRUE,FALSE,2019-02-10,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
survival,3.2.10,3.2-10,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/survival,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/survival,FALSE,FALSE,2021-03-16,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
svglite,2.0.0,2.0.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/svglite,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/svglite,FALSE,FALSE,2021-02-20,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
systemfonts,1.0.1,1.0.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/systemfonts,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/systemfonts,FALSE,FALSE,2021-02-09,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
testthat,3.0.2,3.0.2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/testthat,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/testthat,FALSE,FALSE,2021-02-14,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
TH.data,1.0.10,1.0-10,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/TH.data,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/TH.data,FALSE,FALSE,2019-01-21,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
tibble,3.1.0,3.1.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/tibble,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/tibble,TRUE,FALSE,2021-02-25,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
tidyr,1.1.3,1.1.3,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/tidyr,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/tidyr,TRUE,FALSE,2021-03-03,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
tidyselect,1.1.0,1.1.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/tidyselect,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/tidyselect,FALSE,FALSE,2020-05-11,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
tidyverse,1.3.0,1.3.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/tidyverse,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/tidyverse,TRUE,FALSE,2019-11-21,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
TMB,1.7.19,1.7.19,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/TMB,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/TMB,FALSE,FALSE,2021-02-05,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
usethis,2.0.1,2.0.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/usethis,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/usethis,FALSE,FALSE,2021-02-10,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
utf8,1.2.1,1.2.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/utf8,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/utf8,FALSE,FALSE,2021-03-12,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
vctrs,0.3.7,0.3.7,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/vctrs,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/vctrs,FALSE,FALSE,2021-03-29,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
viridisLite,0.3.0,0.3.0,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/viridisLite,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/viridisLite,FALSE,FALSE,2018-02-01,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
webshot,0.5.2,0.5.2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/webshot,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/webshot,FALSE,FALSE,2019-11-22,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
withr,2.4.1,2.4.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/withr,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/withr,FALSE,FALSE,2021-01-26,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
xfun,0.22,0.22,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/xfun,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/xfun,FALSE,FALSE,2021-03-11,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
xml2,1.3.2,1.3.2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/xml2,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/xml2,FALSE,FALSE,2020-04-23,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
xtable,1.8.4,1.8-4,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/xtable,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/xtable,FALSE,FALSE,2019-04-21,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
yaml,2.2.1,2.2.1,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/yaml,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/yaml,FALSE,FALSE,2020-02-01,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
zoo,1.8.9,1.8-9,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/zoo,/home/derek/R/x86_64-pc-linux-gnu-library/4.0/zoo,FALSE,FALSE,2021-03-09,CRAN (R 4.0.4),NA,/home/derek/R/x86_64-pc-linux-gnu-library/4.0
